"Aldi.1apos_1.C.7_01_3592"	"Aldi.1bpos_1.C.7_01_3607"	"Blut.1apos_1.C.8_01_3593"	"Blut.1bpos_1.C.8_01_3608"	"Heinz.1apos_1.C.1_01_3586"	"Heinz.1bpos_1.C.1_01_3601"	"Knorr.1apos_1.C.2_01_3587"	"Knorr.1bpos_1.C.2_01_3602"	"Kraft.1apos_1.C.5_01_3590"	"Kraft.1bpos_1.C.5_01_3605"	"Penny.1apos_1.C.4_01_3589"	"Penny.1bpos_1.C.4_01_3604"	"Purree.1apos_1.C.3_01_3588"	"Purree.1bpos_1.C.3_01_3603"	"Werder.1apos_1.C.6_01_3591"	"Werder.1bpos_1.C.6_01_3606"
"1"	8.26841962954143	8.0432756086376	5.92775448270534	6.14324905833638	8.15865491254673	8.25659047178038	10.3634829234357	10.3331219167954	8.66707106928202	8.50503354425489	8.41597800532875	8.64425553553999	8.6503073820241	8.86499918623776	8.5640024692108	8.48727934329622
"2"	7.64115064466521	7.83994347670716	0	0	8.17172775694389	8.14899830808245	7.75845753563287	7.83910200533969	8.25486900614557	8.20068673113462	8.06368413564984	8.14409293326224	8.55562400563695	8.48719441399981	7.86788352270197	7.7982241082263
"3"	7.48366671159644	7.30618635884778	5.44983429538176	5.14117571823067	6.38595919921221	5.9423612214086	7.868266095531	7.61326927428543	6.98914276624467	7.62784626578352	8.03096131356485	7.28227372061059	6.89663619039765	6.71816496869049	7.76075374789321	7.76865317534757
"4"	9.3479346210632	9.34581673054826	0	0	8.92365653503455	8.99371155363121	9.01608530120073	9.12784873211453	0	9.0608083430743	0	0	8.58235331931629	8.30716462617295	7.55533709012826	0
"5"	10.006514122044	9.92973884468847	6.87611245524698	6.64946940655612	9.2191439617955	9.26925626773964	10.4833565553135	10.3808478549814	9.93993395931943	9.86100350614398	10.4341471495122	10.3592483660498	10.5222833590148	10.4765583431494	9.63436352202165	9.55794568223258
"6"	10.0154851141958	10.0385215395889	0	0	12.5600772121831	12.9726467598874	10.5085611566478	10.6833664328315	12.6460870253267	12.61023469474	0	0	11.5208840402171	11.6312382269635	10.445384645234	10.4645971006912
"7"	7.54932625432561	0	0	7.03897299712488	7.7015514205101	7.67752809089929	7.44618128367956	0	0	0	0	0	0	7.67877419697953	7.51821626092313	7.54564130359315
"8"	8.61399886332368	8.58776622818418	8.11645344579188	8.12067509191986	8.35927280181974	8.6647262788806	0	0	8.51005186703628	0	0	0	8.53138213669143	8.55009019817225	8.61787613732551	8.54937102977991
"9"	8.05676177798283	8.14594085454992	4.16815992013988	3.38788246359487	7.48977423145235	8.20443755527598	7.39039325764085	7.37938857959185	7.91510665050503	8.39106177984143	7.89250123629905	0	8.03894472269976	0	8.39572063785156	0
"10"	0	7.6993764603512	0	0	0	7.85370564573944	0	0	8.0734493519506	7.79950390193967	7.88300118773215	7.71763122536556	7.86759048614038	7.90640490179752	0	7.42776586427325
"11"	8.44651608922185	7.89710244546419	9.99290210149821	10.0736511521578	0	8.41221901621367	8.44186103093342	8.30329250718321	7.73036665112996	0	0	8.55502181944318	0	8.11495287806368	0	8.18058890607697
"12"	5.99417128059753	6.45576551849364	0	0	6.81170132264461	6.98245612073209	0	0	7.23498459498076	7.09941768923724	6.44545692768972	0	7.23023089867675	0	0	0
"13"	7.68177362395055	7.37150589885002	6.5881118404423	6.71905663170099	0	0	7.62498005377914	7.41787873628696	0	0	0	0	0	0	7.08325965148906	7.21612958291492
