"pos_05_Brarut_1.A.6_01_7401"	"pos_10_Brarut_1.B.3_01_7408"	"pos_15_Calcus_1.B.8_01_7415"	"pos_17_Calcus_1.C.2_01_7417"	"pos_01_Fistax_1.A.2_01_7396"	"pos_02_Fistax_1.A.3_01_7398"	"pos_04_Gripul_1.A.5_01_7400"	"pos_23_Gripul_1.C.8_01_7425"	"pos_09_Hypcup_1.B.2_01_7407"	"pos_21_Hypcup_1.C.6_01_7421"	"pos_25_Marpol_1.D.2_01_7427"	"pos_26_Marpol_1.D.3_01_7428"	"pos_12_Plaund_1.B.5_01_7410"	"pos_13_Plaund_1.B.6_01_7411"	"pos_06_Polstr_1.A.7_01_7402"	"pos_07_Polstr_1.A.8_01_7403"
0	0	0	0	0	7.447136	0	0	0	0	0	0	0	0	0	0
6.14276	0	0	0	0	0	0	0	8.498612	0	8.845214	8.856872	0	8.496144	7.821425	5.85652
10.318438	10.11786	9.141606	9.276453	8.761456	9.040537	7.181067	4.944837	9.46576	8.844923	8.663543	9.869796	9.2032	9.265561	0	0
8.15959	8.494083	8.388483	8.651148	8.329714	8.355006	8.18752	8.328272	8.462151	8.495084	7.552162	7.844865	7.791662	8.09332	7.599237	7.718053
8.867723	9.115208	7.429146	10.312053	7.494879	7.276424	8.090473	9.321588	7.000448	8.937463	7.691525	7.993566	9.257016	12.294991	10.056124	6.515211
9.11474	8.124838	8.299697	8.278834	7.841386	7.983242	8.029772	8.41805	7.913528	8.112097	8.085894	8.884165	9.122016	8.769874	8.480422	8.593581
7.698838	9.087081	8.322934	8.102652	7.210778	8.220262	7.51346	8.04411	7.536121	8.353743	7.221245	8.186576	8.928426	8.089967	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	7.249755	0	0	0	0	0	7.635412	7.964912	6.171984	0	6.317886	0	0	0	0
0	6.754319	7.685986	0	0	0	0	0	7.649533	7.760017	6.159166	0	0	0	0	0
7.290554	9.019844	7.517121	7.88982	7.53199	7.722707	7.546818	8.33505	7.968143	7.799983	6.476716	6.263078	7.915374	8.154283	8.395812	7.207647
0	0	0	0	0	7.901665	0	0	0	0	0	0	0	0	0	6.998838
0	0	7.457466	7.55547	6.062408	6.954663	0	6.675148	0	0	0	0	0	0	7.690275	0
0	0	10.064268	10.522181	0	9.079312	0	0	0	0	0	0	0	0	0	0
8.187016	8.132612	8.286735	7.782743	7.638591	8.229251	8.364914	8.853889	8.386129	8.459517	8.249583	8.166294	8.024661	7.939732	7.9947	7.744823
7.783384	7.766174	7.902038	6.451997	7.083213	7.234	7.476549	7.103996	7.315841	7.375256	7.198247	8.256716	7.142593	7.509504	7.416903	7.094904
8.543431	9.534894	9.106462	9.357025	8.147409	8.33207	8.320591	9.074471	8.205139	9.047785	7.190067	7.073452	8.356743	7.943021	8.093803	7.888976
9.094308	8.970403	9.678136	9.467066	8.956987	8.744565	9.221902	8.832634	9.751121	8.962521	8.514572	9.004404	9.122223	9.169503	8.444891	8.47814
0	0	0	0	0	0	0	0	0	0	7.77911	0	0	0	0	0
8.028348	8.132612	8.021096	6.733002	7.902855	7.753063	7.487832	7.189748	7.719655	7.661666	6.465784	6.512947	7.212117	6.702943	6.790254	7.711126
8.70742	8.480172	7.728227	8.236145	8.240468	8.744833	7.94327	8.577492	8.143404	8.085933	7.255049	7.823848	8.169332	8.006505	7.595785	8.435553
9.523388	0	0	0	0	0	0	0	0	8.325931	0	7.621256	7.861055	7.826195	8.563089	8.133734
7.388564	7.123108	7.397923	7.918559	8.094276	7.277016	7.793206	7.666232	8.730765	8.16103	8.216097	7.99942	8.076163	7.591624	6.753067	6.520203
8.597482	8.477059	8.171989	8.466865	7.428747	8.48537	8.876851	8.476951	7.662569	8.59804	8.037636	8.444385	8.479278	7.766173	7.531595	7.474768
7.842624	8.477536	7.087153	7.229317	7.290729	7.965871	8.524494	7.313642	7.747952	0	7.781563	7.979514	7.516402	7.581328	0	0
8.813149	8.603788	7.379007	7.26685	0	0	0	0	8.333113	8.056721	0	0	0	0	0	8.823278
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.31952	7.505545	7.545356	7.471522	7.67497	7.945462	7.909005	7.33881	7.353763	7.494183	7.193608	7.091608	7.413058	7.391546	7.139907	7.546463
0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.663699	6.986531
7.819692	7.89809	8.455597	8.489436	0	0	8.557451	0	6.834741	0	0	7.921228	0	6.953473	8.965201	8.678855
9.12602	8.157313	7.932612	9.371854	8.333867	8.013156	8.109627	8.085225	7.995336	7.528683	9.121636	9.232943	6.844748	9.321914	9.210265	9.250292
